P	P (slang)_femme_(lesbian_stereotype) 
屠	屠 to_slaughter_(animals_for_food) to_massacre 
屢	屢 time_and_again repeatedly frequently 
巃	巃 steep precipitous_(of_mountain) 
巆	巆 (onom.)_crashing_sound same_as_訇 
巆	巆 see_嶺巆|岭巆[ling3_ying2]_and_崢巆|峥巆[zheng1_ying2],_lofty_(of_mountain) deep_(of_valley) 
巇	巇 mountain-gorge ravine 
巉	巉 cliff 
尿	尿 to_urinate urine CL:泡[pao1] 
尿	尿 see_尿[niao4] 
布	布 cloth to_declare to_announce to_spread to_make_known 
巽	巽 to_obey one_of_the_Eight_Trigrams_八卦[ba1_gua4],_symbolizing_wood_and_wind ☴ ancient_Chinese_compass_point:_135°_(southeast) 
帀	帀 variant_of_匝[za1] 
屖	屖 variant_of_犀,_rhinoceros sharp 
屙	屙 to_defecate 
奈	奈 how_can_one_help 
峹	峹 name_of_a_mountain 
峻	峻 (of_mountains)_high harsh_or_severe 
峽	峽 gorge 
峿	峿 name_of_a_mountain 
崀	崀 used_in_place_names 
崁	崁 see_赤崁樓|赤崁楼[Chi4_kan3_lou2] 
崆	崆 name_of_a_mountain 
崇	崇 surname_Chong 
崇	崇 high sublime lofty to_esteem to_worship 
巧	巧 opportunely coincidentally as_it_happens skillful timely 
屴	屴 high_mountain_range 
屹	屹 high_and_steep 
巋	巋 high_and_mighty_(of_mountain) hilly 
巌	巌 Japanese_variant_of_巖[yan2] 
巍	巍 lofty towering Taiwan_pr._[wei2] 
巔	巔 summit 
巖	巖 variant_of_岩[yan2] 
巗	巗 variant_of_巖|岩[yan2] 
巚	巚 variant_of_巘|𪩘[yan3] 
巜	巜 old_variant_of_澮|浍[kuai4] 
川	川 river creek plain an_area_of_level_country 
妗	妗 wife_of_mother's_brother 
妙	妙 clever wonderful 
奉	奉 to_offer_(tribute) to_present_respectfully_(to_superior,_ancestor,_deity_etc) to_esteem to_revere to_believe_in_(a_religion) to_wait_upon to_accept_orders_(from_superior) 
她	她 she 
奼	奼 beautiful see_奼紫嫣紅|姹紫嫣红[cha4_zi3_yan1_hong2] 
好	好 to_be_fond_of to_have_a_tendency_to to_be_prone_to 
姫	姫 Japanese_variant_of_姬 princess imperial_concubine 
姬	姬 surname_Ji family_name_of_the_Zhou_Dynasty_周代[Zhou1_dai4]_(1046-256_BC) 
姬	姬 woman concubine female_entertainer_(archaic) 
姮	姮 feminine_name_(old) 
姱	姱 fascinating pretty 
姵	姵 (used_in_female_names) 
姺	姺 name_of_an_ancient_state 
姻	姻 marriage_connections 
姽	姽 quiet_and_nice 
娀	娀 name_of_an_ancient_state 
威	威 power might prestige 
屣	屣 slippers 
層	層 layer stratum laminated floor_(of_a_building) storey classifier_for_layers repeated sheaf_(math.) 
局	局 office situation classifier_for_games:_match,_set,_round_etc 
婧	婧 (of_woman)_slender delicate virtuous 
婨	婨 (used_in_female_names)_(old) 
婪	婪 avaricious 
婬	婬 obscene,_licentious,_lewd 
婭	婭 address_term_between_sons-in-law 
婮	婮 (used_in_female_names) 
婷	婷 graceful 
婹	婹 svelte sylphlike 
婺	婺 beautiful 
婼	婼 recalcitrant 
婽	婽 good 
婿	婿 son-in-law husband 
媁	媁 to_appear_displeased beautiful 
媁	媁 ugly to_indulge_oneself 
媄	媄 beautiful 
媅	媅 content happy 
媊	媊 planet_Venus_in_the_morning 
媍	媍 old_variant_of_婦|妇[fu4] 
媏	媏 (used_in_female_names)_(old) 
媒	媒 medium intermediary matchmaker go-between abbr._for_媒體|媒体[mei2_ti3],_media,_esp._news_media 
太	太 highest greatest too_(much) very extremely 
履	履 shoe to_tread_on 
崋	崋 flowery illustrious Chinese 
崌	崌 mountain_name 
崍	崍 name_of_a_mountain_in_Sichuan 
崎	崎 mountainous 
崏	崏 old_variant_of_岷[min2] 
崐	崐 variant_of_崑|昆[kun1] 
崑	崑 used_in_place_names,_notably_Kunlun_Mountains_崑崙|昆仑[Kun1_lun2] (also_used_for_transliteration) 
巒	巒 mountain_ranges 
巓	巓 same_as_巔|巅[dian1] summit mountain_peak mountain_top 
屺	屺 mountain_without_vegetation the_residence_of_one's_mother see_also_岵[hu4] 
屼	屼 bare_hill 
岀	岀 old_variant_of_出[chu1] 
岅	岅 variant_of_阪[ban3] 
岊	岊 mountain_peak 
岌	岌 lofty_peak perilous 
岍	岍 name_of_a_mountain 
岐	岐 surname_Qi also_used_in_place_names 
岐	岐 variant_of_歧[qi2] 
岑	岑 surname_Cen 
岑	岑 small_hill 
岒	岒 character_used_in_place_names 
岔	岔 fork_in_road bifurcation branch_in_road,_river,_mountain_range_etc to_branch_off to_turn_off to_diverge to_stray_(from_the_path) to_change_the_subject to_interrupt to_stagger_(times) 
岝	岝 name_of_a_mountain_in_Shandong 
妚	妚 variant_of_胚[pei1] embryo 
妝	妝 (of_a_woman)_to_adorn_oneself makeup adornment trousseau stage_makeup_and_costume 
妞	妞 girl 
妣	妣 deceased_mother 
妤	妤 handsome fair 
妥	妥 suitable adequate ready settled 
妨	妨 to_hinder (in_the_negative_or_interrogative)_(no)_harm (what)_harm 
巫	巫 surname_Wu also_pr._[Wu2] 
屧	屧 wooden_shoes 
屨	屨 sandals 
屩	屩 (old)_hemp_sandals Taiwan_pr._[jue2] 
屪	屪 penis 
屫	屫 old_variant_of_屩[jue1] 
屬	屬 category genus_(taxonomy) family_members dependents to_belong_to subordinate_to affiliated_with be_born_in_the_year_of_(one_of_the_12_animals) to_be to_prove_to_be to_constitute 
屬	屬 to_join_together to_fix_one's_attention_on to_concentrate_on 
州	州 prefecture (old)_province (old)_administrative_division state_(e.g._of_US) oblast_(Russia) canton_(Switzerland) 
巟	巟 a_watery_waste to_reach 
巠	巠 underground_watercourse archaic_variant_of_經|经[jing1] 
屄	屄 cunt_(vulgar) 
居	居 surname_Ju 
媕	媕 undecided 
媖	媖 (complimentary_name_for_a_woman) 
媚	媚 flatter charm 
媛	媛 beautiful_(woman) 
媛	媛 a_beauty 
媞	媞 used_as_phonetic female_name 
媟	媟 to_lust_for 
媠	媠 old_variant_of_惰[duo4] 
媠	媠 beautiful 
媢	媢 envious 
媧	媧 surname_Wa sister_of_legendary_emperor_Fu_Xi_伏羲 
媩	媩 (used_in_female_names)_(old) 
媬	媬 governess nurse 
媮	媮 improper irregular 
媯	媯 surname_Gui name_of_a_river 
媰	媰 pregnant_woman_(archaic) 
媲	媲 to_match to_pair 
媳	媳 daughter-in-law 
好	好 good well proper good_to easy_to very so (suffix_indicating_completion_or_readiness) (of_two_people)_close on_intimate_terms 
奌	奌 variant_of_點|点[dian3] 
屭	屭 see_贔屭|赑屃[Bi4_xi4] 
屮	屮 plants_sprouting 
屯	屯 to_station_(soldiers) to_store_up village 
屯	屯 difficult stingy 
崒	崒 jagged_mountain_peaks_(poetic) rocky_peaks lofty_and_dangerous 
崒	崒 rocky_peaks lofty_and_dangerous 
崓	崓 variant_of_崮[gu4] 
崔	崔 surname_Cui 
崔	崔 high_mountain precipitous 
崖	崖 precipice cliff Taiwan_pr._[yai2] 
巫	巫 witch wizard shaman also_pr._[wu2] 
巘	巘 peak_of_mountain 
巛	巛 archaic_variant_of_川[chuan1] 
川	川 abbr._for_Sichuan_Province_四川[Si4_chuan1]_in_southwest_China 
岡	岡 ridge mound 
岢	岢 see_岢嵐|岢岚[Ke3_lan2] 
岣	岣 name_of_a_hill_in_Hunan 
岧	岧 lofty_peak 
岨	岨 rocky_hill 
岩	岩 cliff rock 
奨	奨 Japanese_variant_of_獎|奖[jiang3] 
奩	奩 bridal_trousseau 
奪	奪 to_seize to_take_away_forcibly to_wrest_control_of to_compete_or_strive_for to_force_one's_way_through to_leave_out to_lose 
奫	奫 deep_and_broad_(expanse_of_water) abyss 
奬	奬 variant_of_獎|奖[jiang3] 
奭	奭 surname_Shi 
奭	奭 majestic_manner red angry 
奮	奮 to_exert_oneself_(bound_form) 
妬	妬 variant_of_妒[du4] 
妮	妮 girl phonetic_"ni"_(in_female_names) Taiwan_pr._[ni2] 
妯	妯 see_妯娌[zhou2_li5] 
妲	妲 female_personal_name_(archaic) 
妳	妳 variant_of_嬭|奶[nai3] 
妳	妳 you_(female) variant_of_你[ni3] 
妵	妵 (feminine_name) beautiful fair 
妷	妷 variant_of_姪|侄[zhi2] 
妸	妸 (used_in_female_given_names) variant_of_婀[e1] 
妹	妹 younger_sister 
妺	妺 wife_of_the_last_ruler_of_the_Xia_dynasty 
妻	妻 wife 
妻	妻 to_marry_off_(a_daughter) 
嫗	嫗 old_woman to_brood_over to_protect 
嫘	嫘 surname_Lei 
嫙	嫙 beautiful fine 
嫚	嫚 surname_Man 
嫚	嫚 insult 
嫜	嫜 husband's_father 
嫠	嫠 widow 
嫡	嫡 first_wife son_of_first_wife 
奎	奎 crotch 15th_of_the_28th_constellations_of_Chinese_astronomy 
奏	奏 to_play_music to_achieve to_present_a_memorial_to_the_emperor_(old) 
奐	奐 surname_Huan 
奐	奐 excellent 
契	契 to_carve carved_words to_agree a_contract a_deed 
差	差 difference discrepancy to_differ error to_err to_make_a_mistake 
差	差 to_differ_from to_fall_short_of lacking wrong inferior Taiwan_pr._[cha1] 
差	差 to_send to_commission messenger mission 
帄	帄 patch_(for_mending_clothes) 
帆	帆 sail Taiwan_pr._[fan2],_except_帆布[fan1_bu4]_canvas 
帋	帋 variant_of_紙|纸[zhi3] 
希	希 to_hope to_admire variant_of_稀[xi1] 
巢	巢 surname_Chao 
巢	巢 nest 
巣	巣 Japanese_variant_of_巢 
巤	巤 old_variant_of_鬣[lie4] 
嫣	嫣 lovely sweet 
嫦	嫦 a_legendary_beauty_who_flew_to_the_moon the_lady_in_the_moon 
嫩	嫩 tender soft delicate light_(color) inexperienced unskilled 
嫪	嫪 surname_Lao 
嫪	嫪 longing_(unrequited_passion) 
姸	姸 variant_of_妍 beautiful 
姿	姿 beauty disposition looks appearance 
山	山 surname_Shan 
山	山 mountain hill anything_that_resembles_a_mountain CL:座[zuo4] bundled_straw_in_which_silkworms_spin_cocoons gable 
崗	崗 mound policeman's_beat 
崘	崘 variant_of_崙|仑[lun2] 
崙	崙 Kunlun_(Karakorum)_mountain_range_in_Xinjiang 
崚	崚 lofty_(as_of_mountain) 
崛	崛 towering_as_a_peak 
崞	崞 name_of_a_mountain 
崟	崟 high rugged_mountains steep 
崠	崠 name_of_a_mountain 
崢	崢 excel lofty 
崤	崤 name_of_a_mountain_in_Henan also_pr._[Yao2] 
崦	崦 name_of_a_mountain_in_Gansu 
崧	崧 variant_of_嵩[song1] 
崩	崩 to_collapse to_fall_into_ruins death_of_king_or_emperor demise 
屁	屁 fart flatulence nonsense (usu._in_the_negative)_what (not)_a_damn_thing 
岫	岫 cave mountain_peak 
岬	岬 cape_(geography) headland 
岱	岱 Mt_Tai_in_Shandong same_as_泰山 
岳	岳 surname_Yue 
岳	岳 wife's_parents_and_paternal_uncles 
奰	奰 anger 
女	女 female woman daughter 
女	女 archaic_variant_of_汝[ru3] 
妽	妽 (used_in_female_names) 
妾	妾 concubine I,_your_servant_(deprecatory_self-reference_for_women) 
姁	姁 chatter_like_old_woman cheerful 
姄	姄 (used_in_female_given_names)_(old) 
姅	姅 menstruation 
姆	姆 woman_who_looks_after_small_children (old)_female_tutor 
姉	姉 old_variant_of_姊[zi3] 
姊	姊 older_sister Taiwan_pr._[jie3] 
始	始 to_begin to_start then only_then 
媵	媵 maid_escorting_bride_to_new_home concubine 
媸	媸 ugly_woman 
媺	媺 beautiful 
媻	媻 to_move 
媼	媼 old_woman 
媽	媽 ma mom mother 
奓	奓 old_variant_of_侈[chi3] 
奓	奓 old_variant_of_奢[she1] 
奓	奓 to_open to_spread 
奔	奔 to_hurry to_rush to_run_quickly to_elope 
奔	奔 to_go_to to_head_for towards 
存	存 to_exist to_deposit to_store to_keep to_survive 
媾	媾 to_marry to_copulate 
媿	媿 old_variant_of_愧[kui4] 
嫁	嫁 (of_a_woman)_to_marry to_marry_off_a_daughter to_shift_(blame_etc) 
夶	夶 old_variant_of_比[bi3] 
夷	夷 non-Han_people,_esp._to_the_East_of_China barbarians to_wipe_out to_exterminate to_tear_down to_raze 
夸	夸 see_夸克[kua1_ke4] 
夼	夼 low_ground hollow depression_(used_in_Shandong_place_names) 
夾	夾 to_press_from_either_side to_place_in_between to_sandwich to_carry_sth_under_armpit wedged_between between to_intersperse to_mix to_mingle clip folder Taiwan_pr._[jia2] 
夾	夾 double-layered lined_(garment) 
夾	夾 Taiwan_pr._used_in_夾生|夹生[jia1_sheng1]_and_夾竹桃|夹竹桃[jia1_zhu2_tao2] 
娃	娃 baby doll 
娉	娉 graceful 
娌	娌 see_妯娌[zhou2_li5] 
娑	娑 (phonetic) see_婆娑[po2_suo1] 
崬	崬 place_name_in_Guangxi_province 
崮	崮 steep-sided_flat-topped_mountain mesa (element_in_mountain_names) 
崯	崯 variant_of_崟[yin2] 
崱	崱 lofty 
崳	崳 county_in_Shandong_province 
崴	崴 to_sprain_(one's_ankle) see_崴子[wai3_zi5] 
崴	崴 high,_lofty precipitous 
崶	崶 name_of_a_legendary_hill 
崽	崽 child young_animal 
崿	崿 cliff precipice 
嵂	嵂 to_rise_sharply to_tower 
嵄	嵄 mountain hill 
嵇	嵇 surname_Ji name_of_a_mountain 
嵊	嵊 name_of_a_district_in_Zhejiang 
巰	巰 hydrosulfuryl 
己	己 self oneself sixth_of_the_ten_Heavenly_Stems_十天干[shi2_tian1_gan1] sixth_in_order letter_"F"_or_roman_"VI"_in_list_"A,_B,_C",_or_"I,_II,_III"_etc hexa 
屆	屆 to_arrive_at_(place_or_time) period to_become_due classifier_for_events,_meetings,_elections,_sporting_fixtures,_years_(of_graduation) 
屇	屇 cave hole 
屈	屈 surname_Qu 
屈	屈 bent to_feel_wronged 
巡	巡 to_patrol to_make_one's_rounds classifier_for_rounds_of_drinks 
居	居 (archaic)_sentence-final_particle_expressing_a_doubting_attitude 
姍	姍 to_deprecate lithe_(of_a_woman's_walk) leisurely slow 
姐	姐 older_sister 
姑	姑 paternal_aunt husband's_sister husband's_mother_(old) nun for_the_time_being_(literary) 
嫂	嫂 older_brother's_wife sister-in-law 
娂	娂 (used_in_female_names) 
奕	奕 abundant graceful 
套	套 to_cover to_encase cover sheath to_overlap to_interleave to_model_after to_copy formula harness loop_of_rope (fig.)_to_fish_for to_obtain_slyly classifier_for_sets,_collections bend_(of_a_river_or_mountain_range,_in_place_names) tau_(Greek_letter_Ττ) 
已	已 already to_stop then afterwards 
巳	巳 6th_earthly_branch:_9-11_a.m.,_4th_solar_month_(5th_May-5th_June),_year_of_the_Snake ancient_Chinese_compass_point:_150° 
岷	岷 name_of_a_river_in_Sichuan 
峀	峀 old_variant_of_岫[xiu4] 
巵	巵 old_variant_of_卮[zhi1] 
巷	巷 lane alley 
巹	巹 nuptial_wine_cup 
巻	巻 Japanese_variant_of_卷 
巾	巾 towel general_purpose_cloth women's_headcovering_(old) Kangxi_radical_50 
巿	巿 see_韍[fu2] 
市	市 market city CL:個|个[ge4] 
擅	擅 without_authority to_usurp to_arrogate_to_oneself to_monopolize expert_in to_be_good_at 
擊	擊 to_hit to_strike to_break Taiwan_pr._[ji2] 
折	折 to_turn_sth_over to_turn_upside_down to_tip_sth_out_(of_a_container) 
悰	悰 joy 
悱	悱 want_but_cannot_speak 
悲	悲 sad sadness sorrow grief 
拾	拾 to_ascend_in_light_steps 
憚	憚 dread fear dislike 
憝	憝 dislike hate 
憤	憤 indignant anger resentment 
恏	恏 to_desire 
恐	恐 afraid frightened to_fear 
搎	搎 to_rub_with_the_hand to_stroke 
搏	搏 to_fight to_combat to_seize (of_heart)_to_beat 
搐	搐 lead pull 
搓	搓 to_rub_or_roll_between_the_hands_or_fingers to_twist 
搔	搔 to_scratch old_variant_of_騷|骚[sao1] 
搕	搕 to_strike to_take_in_the_hand 
搖	搖 surname_Yao 
搖	搖 to_shake to_rock to_row to_crank 
撊	撊 valiant wrathful 
撋	撋 to_rub_between_the_hands 
撏	撏 to_pull_out_(esp._hair_or_feathers) to_pick to_pluck fig._to_extract_(lines_from_a_text) 
撐	撐 to_support to_prop_up to_push_or_move_with_a_pole to_maintain to_open_or_unfurl to_fill_to_bursting_point brace stay support 
撒	撒 to_let_go to_cast to_let_loose to_discharge to_give_expression_to 
撒	撒 to_scatter to_sprinkle to_spill 
揑	揑 variant_of_捏[nie1] 
插	插 to_insert stick_in pierce to_take_part_in to_interfere to_interpose 
搷	搷 to_beat to_winnow 
搽	搽 to_apply_(ointment,_powder) to_smear to_paint_on 
搾	搾 variant_of_榨[zha4] to_press to_extract_(juice) 
搿	搿 to_hug 
摀	摀 variant_of_捂[wu3] to_cover 
摁	摁 to_press_(with_finger) 
摂	摂 Japanese_variant_of_攝|摄 
摃	摃 old_variant_of_扛[gang1] 
摎	摎 to_strangle to_inquire_into 
摑	摑 to_slap also_pr._[guo2] 
摒	摒 to_discard to_get_rid_of 
摓	摓 wide to_sew 
摔	摔 to_throw_down to_fall to_drop_and_break 
愛	愛 to_love to_be_fond_of to_like affection to_be_inclined_(to_do_sth) to_tend_to_(happen) 
慍	慍 indignant feel_hurt 
慎	慎 careful cautious 
慕	慕 to_admire 
慘	慘 miserable wretched cruel inhuman disastrous tragic dim gloomy 
抿	抿 purse_up_(lips) to_smooth 
拂	拂 old_variant_of_弼[bi4] 
拄	拄 to_lean_on to_prop_on 
拆	拆 to_tear_open to_tear_down to_tear_apart to_open 
幽	幽 remote hidden_away secluded serene peaceful to_imprison in_superstition_indicates_the_underworld ancient_district_spanning_Liaonang_and_Hebei_provinces 
憧	憧 irresolute unsettled 
憨	憨 silly simple-minded foolish naive sturdy tough heavy_(of_rope) 
憩	憩 to_rest 
憫	憫 to_sympathize to_pity to_feel_compassion_for 
憬	憬 awaken 
憭	憭 clear intelligible severe cold 
憯	憯 already sorrowful 
憲	憲 statute constitution 
擷	擷 to_collect Taiwan_pr._[jie2] 
擸	擸 to_hold,_to_grasp to_hold_the_hair to_pull_at 
擺	擺 to_arrange to_exhibit to_move_to_and_fro a_pendulum 
攼	攼 old_variant_of_捍[han4] 
攽	攽 variant_of_頒|颁[ban1] 
放	放 to_put to_place to_release to_free to_let_go to_let_out to_set_off_(fireworks) 
擋	擋 to_resist to_obstruct to_hinder to_keep_off to_block_(a_blow) to_get_in_the_way_of cover gear_(e.g._in_a_car's_transmission) 
擋	擋 to_arrange to_put_in_order 
操	操 variant_of_肏[cao4] 
折	折 to_break to_fracture to_snap to_suffer_loss to_bend to_twist to_turn to_change_direction convinced to_convert_into_(currency) discount rebate tenth_(in_price) classifier_for_theatrical_scenes to_fold accounts_book 
戞	戞 variant_of_戛[jia2] 
戟	戟 halberd long_handled_weapon_with_pointed_tip_and_crescent_blade combined_spear_and_battle-ax 
戥	戥 small_steelyard_for_weighing_money 
戧	戧 contrary pushing_against bump knock used_as_equivalent_for_搶|抢[qiang1] 
攰	攰 totally_exhausted_(Cantonese) Mandarin_equivalent:_累[lei4] 
攲	攲 up uneven 
攴	攴 to_tap to_knock_lightly old_variant_of_撲|扑[pu1] 
收	收 to_receive to_accept to_collect to_put_away to_restrain to_stop in_care_of_(used_on_address_line_after_name) 
懸	懸 to_hang_or_suspend to_worry public_announcement unresolved baseless without_foundation 
悳	悳 variant_of_德[de2] 
悴	悴 haggard sad downcast distressed 
悵	悵 regretful upset despair depressed 
悶	悶 stuffy shut_indoors to_smother to_cover_tightly 
悶	悶 bored depressed melancholy sealed airtight tightly_closed 
悷	悷 sorrowful 
悸	悸 to_palpitate 
悻	悻 angry 
悼	悼 to_mourn to_lament 
悽	悽 variant_of_淒|凄[qi1] sad mournful 
悍	悍 heroic intrepid valiant dauntless fierce ferocious violent 
拂	拂 to_brush_away 
拃	拃 span_(unit_of_length_based_on_the_width_of_the_expanded_human_hand) to_span_(measure_with_one's_hand) 
恒	恒 variant_of_恆|恒[heng2] 
恓	恓 troubled vexed 
恔	恔 cheerful 
恕	恕 to_forgive 
恘	恘 meaning_uncertain,_related_to_戾[li4],_to_violate 
恙	恙 sickness 
恚	恚 rage 
恛	恛 disordered indistinct_doubtful blurred 
恝	恝 indifferent 
恞	恞 happy joyous 
恟	恟 scared,_nervous 
恠	恠 variant_of_怪[guai4] 
恡	恡 variant_of_吝[lin4] 
恢	恢 to_restore to_recover great 
恣	恣 to_abandon_restraint to_do_as_one_pleases comfortable_(dialect) 
搗	搗 pound beat hull attack disturb stir 
揓	揓 to_hold to_grasp 
揕	揕 to_hit to_thrust 
揖	揖 to_greet_by_raising_clasped_hands 
揗	揗 strike,_hit_with_hand tap 
揘	揘 to_strike to_stab 
操	操 to_grasp to_hold to_operate to_manage to_control to_steer to_exercise to_drill_(practice) to_play to_speak_(a_language) 
摘	摘 to_take to_borrow to_pick_(flowers,_fruit_etc) to_pluck to_select to_remove to_take_off_(glasses,_hat_etc) 
摙	摙 to_transport to_remove_to_take 
摛	摛 to_spread_(fame) wield_(pen) 
摜	摜 to_fling to_fall to_wear 
摞	摞 to_pile_up to_stack a_pile a_stack 
摟	摟 to_draw_towards_oneself to_gather to_gather_up_(one's_gown,_sleeves_etc) to_grab_(money) to_extort 
摟	摟 to_hug to_embrace to_hold_in_one's_arms 
慙	慙 variant_of_慚|惭[can2] 
慚	慚 ashamed 
慜	慜 clever old_variant_of_愍[min3] 
慝	慝 evil_thought 
慟	慟 grief 
慢	慢 slow 
拇	拇 thumb big_toe 
拉	拉 to_pull to_play_(a_bowed_instrument) to_drag to_draw to_chat 
憶	憶 to_recollect to_remember memory 
憷	憷 to_be_afraid 
憸	憸 artful flattering 
憹	憹 see_懊憹[ao4_nao2] 
憺	憺 peace 
憾	憾 regret_(sense_of_loss_or_dissatisfaction) 
懂	懂 to_understand to_comprehend 
懅	懅 bashful ashamed 
懆	懆 anxious sad 
懇	懇 earnest 
